area,layer,thickness,density,cellsize
bankssts,I,0.2,10000.0,42.0
bankssts,II,0.22,110000.0,56.0
bankssts,III,0.8999999999999999,40000.0,384.6666666666667
bankssts,IV,0.22,100000.0,38.5
bankssts,V,0.65,40000.0,240.0
bankssts,VI,0.65,26000.0,165.0
fusiform,I,0.225,9000.0,61.5
fusiform,II,0.21000000000000002,105000.0,46.0
fusiform,III,0.95,42500.0,282.33333333333337
fusiform,IV,0.21000000000000002,100000.0,37.25
fusiform,V,0.575,41250.0,304.625
fusiform,VI,0.7,23750.0,245.25
lingual,I,0.17083333333333334,5625.0,39.39583333333333
lingual,II,0.20750000000000002,114166.66666666666,54.75
lingual,III,0.5874999999999999,58055.555555555555,209.31944444444446
lingual,IV,0.195,179166.6666666667,50.16666666666667
lingual,V,0.3458333333333333,52500.0,104.16666666666667
lingual,VI,0.5416666666666667,41208.33333333333,162.70833333333331
insula,I,0.265,6500.0,43.125
insula,II,0.15000000000000002,95000.0,65.25
insula,III,0.75,31000.0,324.79166666666663
insula,IV,0.22499999999999998,100000.0,39.5
insula,V,0.575,36250.0,308.4375
insula,VI,0.95,23000.0,176.3125
lateraloccipital,I,0.175,6125.0,34.4375
lateraloccipital,II,0.19,115000.0,54.25
lateraloccipital,III,0.48,68750.0,148.125
lateraloccipital,IV,0.345,170833.33333333334,48.0
lateraloccipital,V,0.2975,48750.0,95.375
lateraloccipital,VI,0.525,50500.0,164.875
cuneus,I,0.16499999999999998,4750.0,38.875
cuneus,II,0.20500000000000002,115000.0,54.5
cuneus,III,0.5249999999999999,61666.66666666667,174.25
cuneus,IV,0.19,195000.0,52.5
cuneus,V,0.285,55000.0,77.0
cuneus,VI,0.52,44250.0,162.25
pericalcarine,I,0.19,9000.0,25.0
pericalcarine,II,0.12,150000.0,48.0
pericalcarine,III,0.27,100000.0,51.0
pericalcarine,IV,0.8,143333.33333333334,38.0
pericalcarine,V,0.27,45000.0,137.5
pericalcarine,VI,0.45,80000.0,152.5
transversetemporal,I,0.22749999999999998,7750.0,50.75
transversetemporal,II,0.20750000000000002,101250.0,47.0625
transversetemporal,III,0.8374999999999999,46083.333333333336,160.1875
transversetemporal,IV,0.35750000000000004,128750.0,49.3125
transversetemporal,V,0.475,47500.0,161.5
transversetemporal,VI,0.7625000000000001,27500.0,214.875
superiortemporal,I,0.2425,9250.0,56.0
superiortemporal,II,0.1375,85000.0,64.5
superiortemporal,III,0.8,32500.0,305.0
superiortemporal,IV,0.22499999999999998,92500.0,41.0
superiortemporal,V,0.7250000000000001,47500.0,223.125
superiortemporal,VI,1.275,28125.0,364.4375
temporalpole,I,0.3,8000.0,70.0
temporalpole,II,0.08,60000.0,93.75
temporalpole,III,1.2,25000.0,280.0
temporalpole,IV,0.15,50000.0,80.0
temporalpole,V,0.8,35000.0,412.5
temporalpole,VI,1.5,26000.0,400.0
rostralanteriorcingulate,I,0.27,10000.0,37.5
rostralanteriorcingulate,II,,,
rostralanteriorcingulate,III,0.6,30000.0,188.75
rostralanteriorcingulate,IV,,,
rostralanteriorcingulate,V,0.65,25000.0,481.25
rostralanteriorcingulate,VI,0.8,27500.0,111.875
caudalanteriorcingulate,I,0.255,15500.0,38.25
caudalanteriorcingulate,II,0.245,130000.0,65.0
caudalanteriorcingulate,III,0.4275,27500.0,303.125
caudalanteriorcingulate,IV,0.285,125000.0,56.25
caudalanteriorcingulate,V,0.6225,32750.0,428.75
caudalanteriorcingulate,VI,0.7875,22500.0,194.6875
posteriorcingulate,I,0.26,9500.0,21.0
posteriorcingulate,II,0.09,70000.0,93.75
posteriorcingulate,III,0.8049999999999999,25750.0,464.5
posteriorcingulate,IV,0.23,120000.0,25.0
posteriorcingulate,V,0.51,25750.0,525.0
posteriorcingulate,VI,0.7250000000000001,23500.0,221.25
isthmuscingulate,I,0.30500000000000005,5125.0,39.25
isthmuscingulate,II,0.09,70000.0,93.75
isthmuscingulate,III,0.6566666666666666,46333.333333333336,301.9166666666667
isthmuscingulate,IV,0.30666666666666664,146666.66666666666,32.333333333333336
isthmuscingulate,V,0.6200000000000001,33250.0,317.34375
isthmuscingulate,VI,0.635,23750.0,166.3125
entorhinal,I,0.38,5000.0,118.75
entorhinal,II,0.37,17500.0,800.0
entorhinal,III,0.885,20500.0,416.5625
entorhinal,IV,,,
entorhinal,V,0.27,22000.0,571.875
entorhinal,VI,0.675,14625.0,301.5625
parahippocampal,I,0.35,6000.0,105.0
parahippocampal,II,0.2,40000.0,200.0
parahippocampal,III,0.6,15000.0,475.0
parahippocampal,IV,,,
parahippocampal,V,0.3,35000.0,875.0
parahippocampal,VI,0.56,20000.0,192.5
